location,datetime,tempmax,dew,humidity,solarradiation
homagama,2016-12-07,31.1,21.8,73.5,228.2
homagama,2016-12-08,31.1,23.5,78.6,205.9
homagama,2016-12-09,30.6,23.1,78.2,171.2
homagama,2016-12-10,30.4,23.9,82.1,212.9
homagama,2016-12-11,31.1,23,75.8,209.5
homagama,2016-12-12,31.1,22.3,68.4,206
homagama,2016-12-13,30.8,21.5,66.3,154.8
homagama,2016-12-14,30.3,20.9,68.7,173.1
homagama,2016-12-15,31.1,21,69.6,255.8
homagama,2016-12-16,32.1,22.3,75.5,225.6
homagama,2016-12-17,32.1,22.5,74.7,226.7
homagama,2016-12-18,32.1,21,68.9,228.2
homagama,2016-12-19,30.3,21.8,76,188.9
homagama,2016-12-20,30.8,23.6,79.5,167.4
homagama,2016-12-21,31.1,23.5,79,213.8
homagama,2016-12-22,31.1,22.6,75.2,221.5
homagama,2016-12-23,31.4,19.2,65.9,272.4
homagama,2016-12-24,29.1,18.5,69.4,277.2
homagama,2016-12-25,29.5,18.5,69.5,268.3
homagama,2016-12-26,31.1,21.2,73.9,247.4
homagama,2016-12-27,32.1,23.1,79.5,171
homagama,2016-12-28,31.1,23.5,85.8,185.4
homagama,2016-12-29,30.2,22.8,80.4,184.5
homagama,2016-12-30,32.1,21.1,70.7,241.4
homagama,2016-12-31,32.1,21,68.8,239
homagama,2017-01-01,32.1,21.5,71.6,211.1
homagama,2017-01-02,31.1,21.8,73.1,229
homagama,2017-01-03,32.1,21.8,71.1,205.7
homagama,2017-01-04,30.1,20.6,72,268.7
homagama,2017-01-05,30.1,18.6,68.8,275.2
homagama,2017-01-06,32.1,18.7,67.5,260.4
homagama,2017-01-07,32.1,18,64.1,277.8
homagama,2017-01-08,33.1,15.6,58.7,284.2
homagama,2017-01-09,31.1,17.4,64.3,261.5
homagama,2017-01-10,30.1,18.9,69.2,273.3
homagama,2017-01-11,30.1,20.3,73.6,273.8
homagama,2017-01-12,31.2,19.9,72.9,264.9
homagama,2017-01-13,33.1,17.4,62.2,270.6
homagama,2017-01-14,32.1,18.1,65.1,228.3
homagama,2017-01-15,33.1,18.8,62.7,261.7
homagama,2017-01-16,33.1,19.3,62.6,269.2
homagama,2017-01-17,31.1,17.7,60.8,280.5
homagama,2017-01-18,33.1,17.1,58.4,239.5
homagama,2017-01-19,33.1,19.7,65.7,236.2
